"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BFR","French Comm. (Belgium)","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,962,,
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,36.9911,,
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,36.9911,,
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,36.9911,,
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,184.9555,,
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,184.9555,,
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,184.9555,,
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CAN","Canada","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CAN","Canada","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CAN","Canada","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CAN","Canada","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"m","Missing data"
"CHE","Switzerland","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38.1,,
"CHE","Switzerland","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,39,,
"CHE","Switzerland","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38.1,,
"CHE","Switzerland","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38.5,,
"CHE","Switzerland","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,182.5,,
"CHE","Switzerland","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,187,,
"CHE","Switzerland","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,182.5,,
"CHE","Switzerland","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,184.5,,
"CHE","Switzerland","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,784.75,,
"CHE","Switzerland","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,748,,
"CHE","Switzerland","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,620.5,,
"CHE","Switzerland","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,756.45,,
"CHE","Switzerland","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CHE","Switzerland","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CHE","Switzerland","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CHE","Switzerland","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"CHE","Switzerland","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,1930,,
"CHE","Switzerland","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,1930,,
"CHE","Switzerland","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,1930,,
"CHE","Switzerland","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,1930,,
"CHL","Chile","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"CHL","Chile","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"CHL","Chile","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"CHL","Chile","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"CHL","Chile","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,179,,
"CHL","Chile","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,179,,
"CHL","Chile","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,179,,
"CHL","Chile","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,179,,
"CHL","Chile","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,998.82,,
"CHL","Chile","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,998.82,,
"CHL","Chile","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,998.82,,
"CHL","Chile","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,998.82,,
"CHL","Chile","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,1839.2,,
"CHL","Chile","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,1839.2,,
"CHL","Chile","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,1839.2,,
